,,,sterne_de,zeit,sterne,titel,beschreibung,
,,,5.0 von 5 Sternen,7. Januar 2013,5,super,finde ich super das das so super geklappt hat werde ich wieder tun wenn ich so etwas suche und brauchen kann,
,,,3.0 von 5 Sternen,21. März 2013,3,"der Schnitt ist gut, Verarbeitung ist okay","der Schnitt ist super auch für etwas kräfigere Männer, die Farbe ist neutral und nicht impfindlich,das Material ist zu glänzend und fühlt sich nicht gut an",
,,,5.0 von 5 Sternen,28. Dezember 2012,5,Alles prima.,"Die Trainingshose von Adidas habe ich für den Freund meiner Tochter bestellt.,Gabs dann als Weihnachtsgeschenk.,Zu unser aller Freunde passt sie perfekt.,Bei einer Körpergröße von 1,80 passt auch die Länge hervorragend.",
,,,2.0 von 5 Sternen,7. Oktober 2013,2,Klassiker,"Die Hose ist ein Klassiker, aber die Verarbeitung und Qualität des Stoffes lassen bei regelmäßigem Gebrauch zu wünschen übrig.,Das Preis-/Leistungsverhältnis ist eigentlich inakzeptabel.",
,,,1.0 von 5 Sternen,8. September 2014,1,Oguz,"Ich hab meine hose noch nicht gekriegt,und es würde von meine konto abzocken das geld für die hose.bitte um erklärung",
,,,4.0 von 5 Sternen,16. März 2015,4,Super,"Die Hose fällt etwas kleiner aus (nicht sehr viel und beim tragen gibt sie durch,die körperwärme etwas nach.,Mein Mann ist zwar sportler und hat sehr trainierte beine aber nicht übermäßig,er ist dennoch zu frieden und bestellt auch gern immer wieder",
,,,5.0 von 5 Sternen,4. Mai 2013,5,Adidas Trainingshose Firebird in M,Ich bin mit diesem Artikel sehr zufrieden. Die Trainingshose ist super verarbeitet und sieht auch wie auf dem Bild aus. Nach dem Waschen sind keine Veränderungen zu erkennen. Der Stoff fühlt sich weich und eben an und ist bequem zu tragen. Deswegen: 5 Sterne :),
,,,5.0 von 5 Sternen,15. November 2014,5,Hervorragend verarbeitet und sehr gute Passform,Die Hose ist sehr gut verarbeitet und weist eine hervorragende Passform auf. Für mich als Träger der Konfektionsgräße 48/50 ist sie in Größe M ideal zugeschnitten. Die Farbe und der Schnitt in retro...top.,
,,,5.0 von 5 Sternen,28. April 2015,5,Lieblingsprodukt,Sehr bequem kann es nur empfehlen. Habe die dazu gehörige Jacke auch gekauft. Auch nach mehrmaligem waschen bleibt die Farbe und das Material wie neu. Werde mir wahrscheinlich noch andere Farben kaufen.,
,,,5.0 von 5 Sternen,4. Oktober 2014,5,Hammer!!,Die Hose ist super schnell angekommen und zudem ist sie wie man es sich vorstellt. Selbst wenn man seine eigene Größe bestellt ist sie etwas schlabbrig. Jedoch perfekt. Old School Look vom Feinsten:)!,
,,,5.0 von 5 Sternen,11. Juni 2012,5,Klasse,"Die Hose ist wie alle von adidas einfach nur klasse , habe drei stück,von der Sorte , würde diese auch immer wieder kaufen .....",
,,,5.0 von 5 Sternen,19. November 2014,5,Genau!,Produkt super! Und ich bin froh das ich die Bewertungen hier gelesen habe. Denn!!!!! Die Größe  fällt groß aus. Trage normal  L und habe mich hier zu M verleiten lassen........und das war gut so!,
,,,4.0 von 5 Sternen,15. März 2015,4,für Bohnenstangen,"Obwohl ich normalerweise M oder S trage, war diese Hose selbst in XS noch mindestens 7cm zu lang. Ich habe sie beim Schneider kürzen lassen, da sie ansonsten ganz schön und bequem ist.",
,,,5.0 von 5 Sternen,17. März 2014,5,Must have!,"Die Trainingshose Adidas  Firebird  wird von meinem Mann gern getragen, nicht nur zum Sport. In der kühlen Jahreszeit ist sie,auch beim Fahrradfahren nicht wegzudenken.",
,,,4.0 von 5 Sternen,22. November 2012,4,Gute Ware,"Trägt sich angenehm. Der Stoff ist überhaupt nicht zu dünn, wie in einer anderen Rezension behauptet wurde. Schönes Design und guter Schnitt. Etwas teuer in Schwarz...",
